training_regime,chain,stage,layer,k,d_sae,nmse,mean_l0,L_base,L_sae,L_mean,frac_rec,step,n_tokens,mse,var,nmse_recomputed,mean_l0_raw,n_dead,dead_frac,dead_latents_pct,frac_rec_pct,delta_loss,expansion,model,architecture,optimizer,lr,checkpoint
PPO,flexible,ppo_step30,23,256,7168,0.16650000,256.00000000,2.60710000,2.85220000,17.17220000,0.98320000,30,89148,0.49434600,2.96871700,0.16651800,256.00000000,0,0.00000000,0.00000000,98.32000000,0.24510000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step30
PPO,flexible,ppo_step60,23,256,7168,0.16520000,256.00000000,2.81640000,3.06060000,18.75050000,0.98470000,60,89148,0.48283600,2.92210000,0.16523600,256.00000000,0,0.00000000,0.00000000,98.47000000,0.24420000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step60
PPO,flexible,ppo_step100,23,256,7168,0.16160000,256.00000000,3.06340000,3.31520000,19.83510000,0.98500000,100,89148,0.46536100,2.87995000,0.16158600,256.00000000,0,0.00000000,0.00000000,98.50000000,0.25180000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step100
PPO,flexible,ppo_step140,23,256,7168,0.15700000,256.00000000,3.17180000,3.42340000,20.09870000,0.98510000,140,89148,0.44785800,2.85332200,0.15696000,256.00000000,0,0.00000000,0.00000000,98.51000000,0.25160000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step140
PPO,flexible,ppo_step180,23,256,7168,0.15280000,256.00000000,3.24110000,3.49140000,20.43950000,0.98540000,180,89148,0.43307000,2.83412100,0.15280600,256.00000000,0,0.00000000,0.00000000,98.54000000,0.25030000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step180
PPO,flexible,ppo_step200,23,256,7168,0.14850000,256.00000000,3.22760000,3.46680000,20.23250000,0.98590000,200,89148,0.41926400,2.82239700,0.14854900,256.00000000,0,0.00000000,0.00000000,98.59000000,0.23920000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step200
PPO,kl0p025,instruct_base,6,64,7168,0.00050000,64.00000000,2.43880000,2.60890000,11.55460000,0.98130000,0,44574,0.02403600,47.04707000,0.00051100,64.00000000,156,0.02176300,2.17630000,98.13000000,0.17010000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,instruct_base
PPO,kl0p025,ppo_step10,6,64,7168,0.00050000,64.00000000,2.45750000,2.61200000,11.55600000,0.98300000,10,44574,0.02184300,47.05231900,0.00046400,64.00000000,199,0.02776200,2.77620000,98.30000000,0.15450000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step10
PPO,kl0p025,ppo_step30,6,64,7168,0.00040000,64.00000000,2.58380000,2.71130000,11.59870000,0.98590000,30,44574,0.01842300,47.02972400,0.00039200,64.00000000,225,0.03139000,3.13900000,98.59000000,0.12750000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step30
PPO,kl0p025,instruct_base,12,64,7168,0.00080000,64.00000000,2.43880000,2.71000000,10.10970000,0.96470000,0,44574,0.04030900,47.52871700,0.00084800,64.00000000,110,0.01534600,1.53460000,96.47000000,0.27120000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,instruct_base
PPO,kl0p025,ppo_step10,12,64,7168,0.00080000,64.00000000,2.45750000,2.66380000,10.10640000,0.97300000,10,44574,0.03595400,47.53390100,0.00075600,64.00000000,312,0.04352700,4.35270000,97.30000000,0.20630000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step10
PPO,kl0p025,ppo_step30,12,64,7168,0.00070000,64.00000000,2.58380000,2.80540000,10.16310000,0.97080000,30,44574,0.03299500,47.51135300,0.00069400,64.00000000,114,0.01590400,1.59040000,97.08000000,0.22160000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step30
PPO,kl0p025,instruct_base,18,64,7168,0.00370000,64.00000000,2.43880000,2.80060000,10.75790000,0.95650000,0,44574,0.17683100,48.26130700,0.00366400,64.00000000,100,0.01395100,1.39510000,95.65000000,0.36180000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,instruct_base
PPO,kl0p025,ppo_step10,18,64,7168,0.00340000,64.00000000,2.45750000,2.76760000,10.76540000,0.96270000,10,44574,0.16602200,48.26517900,0.00344000,64.00000000,35,0.00488300,0.48830000,96.27000000,0.31010000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step10
PPO,kl0p025,ppo_step30,18,64,7168,0.00330000,64.00000000,2.58380000,2.88800000,10.91680000,0.96350000,30,44574,0.15813000,48.23019000,0.00327900,64.00000000,17,0.00237200,0.23720000,96.35000000,0.30420000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step30
PPO,kl0p025,instruct_base,23,64,7168,0.30120000,64.00000000,2.43880000,3.08030000,15.48030000,0.95080000,0,44574,0.92192300,3.06128400,0.30115600,64.00000000,0,0.00000000,0.00000000,95.08000000,0.64150000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,instruct_base
PPO,kl0p025,ppo_step10,23,64,7168,0.28650000,64.00000000,2.45750000,3.03530000,15.70850000,0.95640000,10,44574,0.87440200,3.05240200,0.28646300,64.00000000,0,0.00000000,0.00000000,95.64000000,0.57780000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step10
PPO,kl0p025,ppo_step30,23,64,7168,0.28920000,64.00000000,2.58380000,3.19400000,16.92220000,0.95740000,30,44574,0.86699100,2.99755300,0.28923300,64.00000000,0,0.00000000,0.00000000,95.74000000,0.61020000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step30
PPO,shuffled,instruct_base,6,64,7168,0.00050000,64.00000000,2.44450000,2.60260000,11.60410000,0.98270000,0,44574,0.02507100,47.04707000,0.00053300,64.00000000,169,0.02357700,2.35770000,98.27000000,0.15810000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,instruct_base
PPO,shuffled,ppo_step10,6,64,7168,0.00050000,64.00000000,2.46600000,2.60870000,11.62720000,0.98440000,10,44574,0.02253700,47.05139500,0.00047900,64.00000000,323,0.04506100,4.50610000,98.44000000,0.14270000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step10
PPO,shuffled,ppo_step30,6,64,7168,0.00040000,64.00000000,2.45900000,2.59060000,11.62300000,0.98560000,30,44574,0.02001000,47.04600500,0.00042500,64.00000000,205,0.02859900,2.85990000,98.56000000,0.13160000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step30
PPO,shuffled,instruct_base,12,64,7168,0.00090000,64.00000000,2.44450000,2.75410000,10.14950000,0.95980000,0,44574,0.04116900,47.52871700,0.00086600,64.00000000,199,0.02776200,2.77620000,95.98000000,0.30960000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,instruct_base
PPO,shuffled,ppo_step10,12,64,7168,0.00070000,64.00000000,2.46600000,2.70780000,10.15930000,0.96860000,10,44574,0.03563700,47.53311200,0.00075000,64.00000000,150,0.02092600,2.09260000,96.86000000,0.24180000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step10
