chain,layer,stage,step,n_tokens,n_features,n_alive,frac_alive,entropy_bits,effective_features,mean_density,max_density
strict,18,ppo_step50,50,44574,7168,7134,0.9952567219734192,12.083531750803196,4340.157706232405,0.008928571827709675,0.6018306612968445
strict,18,ppo_step80,80,44574,7168,7095,0.9898158311843872,12.078192555252002,4324.12512615054,0.008928571827709675,0.6959213614463806
strict,18,ppo_step116,116,44574,7168,7123,0.9937220811843872,12.113978244730717,4432.725299733101,0.0089285708963871,0.7271952033042908
strict,23,instruct_base,0,44574,7168,7168,1.0,12.515432369224062,5854.914425025723,0.0357142835855484,0.48671871423721313
strict,23,ppo_step10,10,44574,7168,7168,1.0,12.471184494459326,5678.06832687662,0.0357142873108387,0.6239063143730164
strict,23,ppo_step30,30,44574,7168,7168,1.0,12.396714689155257,5392.410791158278,0.0357142835855484,0.6837169528007507
strict,23,ppo_step50,50,44574,7168,7168,1.0,12.316730068610067,5101.585847027799,0.0357142873108387,0.7089110016822815
strict,23,ppo_step80,80,44574,7168,7168,1.0,12.248723717569884,4866.685117514808,0.0357142798602581,0.7201282978057861
strict,23,ppo_step116,116,44574,7168,7168,1.0,12.18764388869683,4664.943487773822,0.0357142873108387,0.7243684530258179
shuffled,6,instruct_base,0,44574,7168,6002,0.8373326063156128,11.23062916154408,2403.0137055546616,0.008928571827709675,0.49690401554107666
shuffled,6,ppo_step10,10,44574,7168,6249,0.8717913031578064,11.44170873706863,2781.618278492068,0.008928571827709675,0.5174541473388672
shuffled,6,ppo_step30,30,44574,7168,6385,0.8907645344734192,11.554950451969454,3008.754026297535,0.008928571827709675,0.5576344728469849
shuffled,12,instruct_base,0,44574,7168,6038,0.8423548936843872,11.460458332917346,2818.004759402458,0.008928571827709675,0.45580384135246277
shuffled,12,ppo_step10,10,44574,7168,6623,0.9239676594734192,11.879224677675374,3767.0636058677787,0.00892857275903225,0.5524296760559082
shuffled,12,ppo_step30,30,44574,7168,6630,0.9249442219734192,11.965418983596397,3998.987298602202,0.008928571827709675,0.6125544309616089
shuffled,18,instruct_base,0,44574,7168,6420,0.8956473469734192,11.639058787143856,3189.376693118392,0.0089285708963871,0.8661102652549744
shuffled,18,ppo_step10,10,44574,7168,7076,0.9871651530265808,11.783613979967456,3525.504434595631,0.008928571827709675,0.8854264616966248
shuffled,18,ppo_step30,30,44574,7168,6968,0.9720982313156128,11.947811206209483,3950.4771633467944,0.0089285708963871,0.9241935014724731
shuffled,23,instruct_base,0,44574,7168,7168,1.0,12.185324480333072,4657.449723840633,0.008928571827709675,0.3470408618450165
shuffled,23,ppo_step10,10,44574,7168,7167,0.9998604655265808,12.31486648664038,5095.000196310933,0.008928571827709675,0.35381612181663513
shuffled,23,ppo_step30,30,44574,7168,7168,1.0,12.329475516820871,5146.855333319977,0.008928571827709675,0.37308743596076965
