chain,layer,feature_idx,rank,stage_from,stage_to,dec_cos,dec_drift,enc_cos,density_start,density_end
flexible,23,2541,12,instruct_base,ppo_step200,0.21989759802818298,0.7801023721694946,0.1840146780014038,0.027527257800102234,0.22268587350845337
flexible,23,2268,13,instruct_base,ppo_step200,0.22148704528808594,0.7785129547119141,0.169917494058609,0.02846951223909855,0.23747026920318604
flexible,23,643,14,instruct_base,ppo_step200,0.22616401314735413,0.7738360166549683,0.18990176916122437,0.031543053686618805,0.2534998059272766
flexible,23,5936,15,instruct_base,ppo_step200,0.22741658985614777,0.7725834250450134,0.17985665798187256,0.030948534607887268,0.26163235306739807
flexible,23,5478,16,instruct_base,ppo_step200,0.2327682077884674,0.767231822013855,0.20414386689662933,0.05741015076637268,0.24097007513046265
flexible,23,7112,17,instruct_base,ppo_step200,0.2349921315908432,0.7650078535079956,0.17110072076320648,0.03625432029366493,0.19587652385234833
flexible,23,4139,18,instruct_base,ppo_step200,0.2350645512342453,0.7649354338645935,0.19990205764770508,0.12002512812614441,0.2519069314002991
flexible,23,6486,19,instruct_base,ppo_step200,0.2389737218618393,0.7610262632369995,0.18757346272468567,0.03580562770366669,0.20038586854934692
flexible,23,2874,20,instruct_base,ppo_step200,0.24005089700222015,0.7599490880966187,0.1942499876022339,0.02682056836783886,0.2776506543159485
strict,6,2270,1,instruct_base,ppo_step116,0.056041717529296875,0.9439582824707031,0.45190250873565674,0.0002019114326685667,0.0015031184302642941
strict,6,6783,2,instruct_base,ppo_step116,0.06870247423648834,0.9312975406646729,0.45502468943595886,6.730380846420303e-05,0.003365190466865897
strict,6,3591,3,instruct_base,ppo_step116,0.06907473504543304,0.9309252500534058,0.26388415694236755,0.00013460761692840606,0.014649796299636364
strict,6,6830,4,instruct_base,ppo_step116,0.0701448917388916,0.9298551082611084,0.06065990775823593,0.0005608650972135365,0.07022030651569366
strict,6,354,5,instruct_base,ppo_step116,0.07167056202888489,0.9283294677734375,0.4580722153186798,8.973841613624245e-05,0.0025575447361916304
strict,6,1811,6,instruct_base,ppo_step116,0.0724019929766655,0.9275979995727539,0.4028429388999939,6.730380846420303e-05,0.0013685107696801424
strict,6,2543,7,instruct_base,ppo_step116,0.07476557791233063,0.9252344369888306,0.5038757920265198,0.0002467806334607303,0.0010768609354272485
strict,6,5437,8,instruct_base,ppo_step116,0.07855916768312454,0.921440839767456,0.4134993255138397,0.00015704221732448786,0.0024902408476918936
strict,6,5901,9,instruct_base,ppo_step116,0.08070467412471771,0.9192953109741211,0.42424246668815613,2.2434604034060612e-05,0.0030286714900285006
strict,6,6275,10,instruct_base,ppo_step116,0.08101537078619003,0.9189846515655518,0.4437372386455536,0.0,0.010791043750941753
strict,6,3470,11,instruct_base,ppo_step116,0.08222124725580215,0.917778730392456,0.3562445342540741,0.0,0.0018396374071016908
